Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.096959,776.8816999,690.051405,591.9798276,554.0108303,546.246191,540.1624426,510.4731031,495.9580972,467.8942276,432.6993394,420.2721766,426.1746285,445.5148537,473.9589299,502.8971999,528.8716998,558.9001538,586.0287494,587.5528154,616.5323991,650.4366032,652.2973377,735.030028,829.6507769,885.1244428,942.3002777,1036.588358,1105.628847,1206.798113,1174.385868,1358.204717,1533.739539,,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429.411702,3530.7864,3605.204166,3551.369266,3331.574917,3442.723743,3559.743487,3525.355378,3620.050855,3482.032021,3687.232246,3769.265332,3910.797434,3910.654111,4016.429446,4305.869938,4616.63511,4267.756861,4473.227068,4827.907091,5152.51779,5204.000834,6093.016322,5868.944609,5769.148067,4746.040112,4043.700138,4476.993602,5636.425589,5766.754924,4813.315626,6323.717815,6713.944946,,
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5083.670494,5252.637023,5479.891585,5796.490513,6143.693277,6475.079252,6607.499178,6829.085078,6825.870768,6520.964545,6753.464794,6911.727494,7085.62081,7398.183502,7888.450084,8412.996829,9135.678975,9891.37577,10291.19999,10357.33409,10830.19512,11694.72661,12075.48176,12756.02107,13323.16908,13289.67449,13971.33959,14334.91461,15161.31797,16091.49905,15416.32984,17586.52396,20951.53642,,
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513.473758,1442.888581,1563.789745,1612.221572,1526.289549,1580.235729,1554.552374,1610.090098,1614.172886,1635.195121,1818.022052,1864.204665,1898.09721,1937.861957,1989.610063,2069.178634,2146.123234,2177.670839,2261.348023,2301.971286,2367.778629,2464.354227,2667.26473,2819.567213,2924.831517,2935.198962,3120.160055,3325.503877,3284.443955,3294.288308,3245.399588,3426.757734,3687.615228,,
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.486667,1102.791479,1221.066183,1324.864016,1572.95184,1790.796473,1984.07798,2192.456172,2440.482102,2694.994132,3090.472389,3177.186895,3343.94051,3501.599578,3909.361813,4256.044521,4680.124627,5471.650916,5903.59523,5791.926305,5905.339326,6189.695734,6058.777074,6040.448948,6020.243317,6285.598887,6747.311315,7204.474449,7115.537702,7702.923563,6053.270155,6576.027477,8171.277163,,
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4962.082606,5114.676673,5570.652997,5957.793195,6207.287407,6446.063024,6501.022528,6820.10241,7231.77471,7486.053005,7796.430885,8099.712401,8363.810726,8756.921955,9248.126628,9772.464328,10658.27763,11680.5728,12297.21336,12103.38185,12740.34097,13410.35454,14241.86769,14992.42205,16132.65788,17248.7474,18898.07522,20168.22048,21144.40977,22949.52866,21716.87024,23700.29613,26181.14202,,
Caribbean small states,CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6154.109535,6458.887231,6762.722551,7091.127545,7384.706487,7685.170623,8027.177598,8353.521513,8612.371826,9023.928742,9501.824209,9865.323402,10335.13162,11141.84162,11855.76943,12589.41483,13838.63726,14639.02546,15051.73946,14544.18442,14846.42472,15234.81337,15535.46042,15720.13775,15949.64933,15687.32336,15459.01031,16120.50604,16543.80765,17026.13241,15333.98417,17578.2736,21303.98199,,
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21016.65,,,,,,,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21888.34706,23054.70396,23478.24186,23520.55159,23788.37033,24078.37594,24587.77493,25369.98553,26091.9481,25950.14223,25953.0971,26251.36282,25105.99247,24821.7963,24347.76058,24037.64858,23649.59165,24321.74681,24623.04143,25396.99662,21797.01901,25163.86693,29520.55695,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75269.09914,77386.8151,76320.16593,69274.57126,66346.62801,66766.04233,65040.71547,64132.62443,64201.89279,64777.50006,66571.56408,69038.24586,72981.75133,74008.76474,67370.30772,75898.42316,83528.71091,,
